Ranking população;País;População;Ranking covid;Infectados;Recuperados;Mortes;Continente
3;United States;331345980;0;30347354;22498743;551285;Outros Continentes
6;Brazil;212881263;1;11780820;10287057;285136;Outros Continentes
2;India;1374627658;2;11513945;11081335;159405;Outros Continentes
9;Russia;146238185;3;4428239;4037036;93824;Outros Continentes
21;United Kingdom;66796807;4;4280882;3593136;125926;Outros Continentes
20;France;67399000;5;4181607;278263;91679;Outros Continentes
25;Italy;59304696;6;3306711;2655346;103855;Outros Continentes
30;Spain;47351567;7;3212332;2945446;72910;Outros Continentes
18;Turkey;83614362;8;2950603;2770638;29777;Outros Continentes
19;Germany;83190556;9;2628624;2383600;74771;Outros Continentes
28;Colombia;51049498;10;2314154;2212512;61498;Outros Continentes
31;Argentina;45808747;11;2218425;2003121;54231;Outros Continentes
10;Mexico;126014024;12;2175462;1720430;195908;Outros Continentes
38;Poland;38268000;13;1984248;1603832;48388;Outros Continentes
17;Iran;84285934;14;1778645;1521377;61581;Outros Continentes
23;South Africa;59622350;15;1533961;1459894;51724;Africa
35;Ukraine;41554836;16;1504076;1244190;29253;Outros Continentes
4;Indonesia;270203917;17;1443853;1272958;39142;Outros Continentes
87;Czech Republic;10707839;18;1439019;1215544;24117;Outros Continentes
42;Peru;33035304;19;1435598;1347160;49523;Outros Continentes
68;Netherlands;17573531;20;1179612;3;16198;Outros Continentes
37;Canada;38388488;21;921510;866979;22579;Outros Continentes
61;Chile;19678363;22;911469;854827;21988;Outros Continentes
62;Romania;19317984;23;881159;794950;21877;Outros Continentes
96;Israel;9325540;24;825562;797323;6069;Outros Continentes
83;Belgium;11554449;25;818142;54933;22600;Outros Continentes
90;Portugal;10295909;26;816055;764599;16743;Outros Continentes
36;Iraq;41190700;27;779458;702667;13896;Outros Continentes
89;Sweden;10380491;28;738537;16;13236;Outros Continentes
13;Philippines;109970639;29;640984;561530;12887;Outros Continentes
5;Pakistan;225200000;30;615810;577501;13717;Outros Continentes
100;Switzerland;8655100;31;578861;534217;10183;Outros Continentes
8;Bangladesh;170341020;32;562752;515989;8608;Outros Continentes
92;Hungary;9731000;33;539080;360895;17628;Outros Continentes
108;Serbia;6926705;34;536904;454449;4840;Outros Continentes
85;Jordan;10902796;35;514107;416971;5627;Outros Continentes
99;Austria;8933346;36;504581;465984;8982;Outros Continentes
39;Morocco;36194208;37;490575;477879;8748;Africa
11;Japan;125620000;38;451186;429898;8717;Outros Continentes
93;United Arab Emirates;9503738;39;434465;416105;1424;Outros Continentes
110;Lebanon;6769000;40;430734;337975;5609;Outros Continentes
41;Saudi Arabia;34218169;41;383880;373601;6591;Outros Continentes
128;Panama;4278500;42;349020;337630;6018;Outros Continentes
119;Slovakia;5459781;43;344470;255300;8814;Outros Continentes
44;Malaysia;32753500;44;328466;312461;1223;Outros Continentes
67;Ecuador;17693324;45;307429;263164;16333;Outros Continentes
95;Belarus;9408350;46;306524;297502;2130;Outros Continentes
107;Bulgaria;6951482;47;291769;230457;11715;Outros Continentes
131;Georgia;3716858;48;276436;269384;3674;Outros Continentes
49;Nepal;30378055;49;275625;271610;3015;Outros Continentes
80;Bolivia;11797257;50;262056;207643;12015;Outros Continentes
130;Croatia;4047200;51;254507;242665;5726;Outros Continentes
88;Dominican Republic;10535535;52;247979;204188;3257;Outros Continentes
82;Tunisia;11708370;53;243935;210983;8490;Africa
91;Azerbaijan;10122148;54;243424;231894;3314;Outros Continentes
86;Greece;10718565;55;230317;196726;7297;Outros Continentes
124;Ireland;4977400;56;228796;23364;4566;Outros Continentes
64;Kazakhstan;18890072;57;227953;208881;2881;Outros Continentes
114;Denmark;5840045;58;223415;211962;2397;Outros Continentes
121;Palestine;5227193;59;218061;193578;2358;Outros Continentes
127;Kuwait;4464521;60;215067;199549;1202;Outros Continentes
142;Moldova;2640438;61;210725;183520;4472;Outros Continentes
122;Costa Rica;5163038;62;210447;189682;2886;Outros Continentes
139;Lithuania;2790044;63;207469;192922;3442;Outros Continentes
147;Slovenia;2111461;64;203544;189333;3951;Outros Continentes
14;Egypt;101633237;65;192840;148424;11431;Africa
104;Paraguay;7353038;66;185888;153781;3588;Outros Continentes
70;Guatemala;17109746;67;185832;169624;6619;Outros Continentes
12;Ethiopia;117876000;68;181869;145349;2602;Africa
137;Armenia;2967900;69;181165;167186;3301;Outros Continentes
94;Honduras;9450711;70;180271;68919;4390;Outros Continentes
141;Qatar;2717360;71;172200;159472;270;Outros Continentes
7;Nigeria;211401000;72;161261;146395;2027;Africa
135;Bosnia and Herzegovina;3332593;73;149891;122680;5729;Outros Continentes
106;Libya;6959000;74;149207;136158;2435;Africa
